COUNTY,DATE,Housing & Shelter,Food,Utilities,Healthcare & COVID-19,Mental Health & Addictions,Employment & Income,Clothing & Household,Child Care & Parenting,Government & Legal,Transportation Assistance,Education,Disaster,Other,Total for top requests,(Housing & Shelter) Shelters,(Housing & Shelter) Low-cost housing,(Housing & Shelter) Home repair/ maintenance,(Housing & Shelter) Rent assistance,(Housing & Shelter) Mortgage assistance,(Housing & Shelter) Landlord/ tenant issues,(Housing & Shelter) Contacts,(Housing & Shelter) Other housing & shelter,(Food) Help buying food,(Food) Food pantries,(Food) Soup kitchens & Meals to-go,(Food) Feeding children,(Food) Home-delivered meals,(Food) Holiday meals,(Food) Contacts,(Food) Other food,(Utilities) Electric,(Utilities) Gas,(Utilities) Water,(Utilities) Heating fuel,(Utilities) Utility payment plans,(Utilities) Phone/internet,(Utilities) Contacts,(Utilities) Other utilities,(Healthcare & COVID-19) Health insurance,(Healthcare & COVID-19) Medical expense assistance,(Healthcare & COVID-19) Medical providers,(Healthcare & COVID-19) Dental & eye care,(Healthcare & COVID-19) Prescription medications,(Healthcare & COVID-19) Nursing homes & adult care,(Healthcare & COVID-19) Death related,(Healthcare & COVID-19) Public health & safety,(Healthcare & COVID-19) COVID testing,(Healthcare & COVID-19) COVID vaccination,(Healthcare & COVID-19) All other COVID,(Healthcare & COVID-19) Other health services,(Healthcare & COVID-19) Contacts,(Healthcare & COVID-19) Other healthcare,(Mental Health & Addictions) Substance abuse & addictions,(Mental Health & Addictions) Marriage & family,(Mental Health & Addictions) Crisis intervention & suicide,(Mental Health & Addictions) Mental health services,(Mental Health & Addictions) Mental health facilities,(Mental Health & Addictions) Other mental health & addictions,(Employment & Income) Job search,(Employment & Income) Job development,(Employment & Income) Unemployment benefits,(Employment & Income) Tax preparation,(Employment & Income) Financial assistance,(Employment & Income) Money management,(Employment & Income) Contacts,(Employment & Income) Other employment & income,(Clothing & Household) Clothing,(Clothing & Household) Personal hygiene products,(Clothing & Household) Appliances,(Clothing & Household) Home furnishings,(Clothing & Household) Thrift shops,(Clothing & Household) Seasonal/ holiday,(Clothing & Household) Contacts,(Clothing & Household) Other clothing & household,(Child Care & Parenting) Child care,(Child Care & Parenting) Parenting,(Child Care & Parenting) Family support services,(Child Care & Parenting) Other child care & parenting,(Government & Legal) Legal assistance,(Government & Legal) Child & family law,(Government & Legal) Immigration assistance,(Government & Legal) Government,(Government & Legal) Contacts,(Government & Legal) Other government & legal,(Transportation Assistance) Medical transportation,(Transportation Assistance) Public transportation,(Transportation Assistance) Automobile assistance,(Transportation Assistance) Long-distance travel,(Transportation Assistance) Ride share services,(Transportation Assistance) Bike programs,(Transportation Assistance) Contacts,(Transportation Assistance) Other transportation assistance,(Education) Early childhood education,(Education) Adult education,(Education) Literacy,(Education) ESL/ citizenship,(Education) Tutoring,(Education) School supplies,(Education) Scholarships & aid,(Education) Other education providers,(Education) Contacts,(Education) Other education,(Disaster) Food/ water,(Disaster) Housing/ shelter,(Disaster) Transportation/ fuel,(Disaster) Health/ safety,(Disaster) Financial assistance,(Disaster) Disaster relief services,(Disaster) Contacts,(Disaster) Other disaster,(Other) Agency & other contact information,(Other) Community development & enrichment,(Other) Volunteering & donations,(Other) Support & advocacy,(Other) Complaints,(Other) Special population services,(Other) Special populations,(Other) All other requests,Filled,Judgement,Population
Calumet County,Jul 2020,28,7,9,24,7,11,4,0,22,6,0,1,13,132,3,6,2,15,0,2,0,0,0,6,1,0,0,0,0,0,7,1,1,0,0,0,0,0,0,2,2,2,1,3,0,0,11,0,2,1,0,0,2,0,1,3,1,0,1,0,5,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,2,0,6,12,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,2,1,0,0,0,0,6,1,49928
Iowa County,Aug 2020,2,1,2,4,2,0,0,0,1,1,0,0,1,14,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,23618
Vernon County,Apr 2021,4,0,2,25,21,2,1,1,6,0,0,0,2,64,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,13,1,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,30633
Washburn County,Apr 2021,0,0,0,36,2,0,0,0,0,0,0,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15688
Ozaukee County,Aug 2019,8,2,1,3,9,0,0,0,1,0,0,0,4,28,2,2,0,3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,8,5,88597
Milwaukee County,May 2021,4360,650,2316,1647,2827,412,403,44,897,114,20,134,1535,15359,1344,1328,239,1106,81,241,11,10,161,375,80,2,29,0,0,3,1766,406,38,18,17,35,26,10,82,14,103,61,5,376,14,5,132,281,84,70,420,0,352,10,743,1681,41,0,50,2,17,200,85,12,32,14,79,25,129,165,4,1,0,0,19,24,1,0,135,115,5,290,345,7,41,40,15,6,1,0,0,11,0,3,2,1,2,0,3,9,0,0,0,3,0,2,124,0,2,3,1165,21,68,34,28,85,0,134,484,7,951226
Douglas County,Nov 2019,12,4,0,2,1,2,4,0,2,1,0,0,2,30,5,0,1,5,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,43295
Iowa County,Feb 2020,1,0,2,4,1,1,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,23618
Calumet County,Dec 2019,18,7,3,8,5,7,10,1,4,4,0,0,13,80,2,1,3,9,1,2,0,0,2,4,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,2,1,0,0,1,0,1,0,5,0,0,0,4,1,0,2,0,3,0,0,1,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,2,3,4,49928
Wood County,Jun 2020,57,15,14,31,19,19,4,0,13,5,4,3,21,205,10,2,10,29,3,3,0,0,1,13,0,0,1,0,0,0,10,3,1,0,0,0,0,0,0,1,3,2,1,2,0,2,6,0,13,1,0,0,11,0,1,6,1,0,0,0,0,18,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,12,2,6,0,0,0,0,1,37,3,73112
Vernon County,Jun 2020,2,2,3,3,11,2,3,1,8,1,0,1,5,42,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,6,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,30633
Washburn County,Jun 2020,1,9,0,5,5,1,0,0,1,2,0,0,0,24,0,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15688
Price County,Jul 2020,3,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13416
Clark County,Aug 2020,10,5,3,6,11,2,2,1,2,1,2,2,5,52,1,0,3,6,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,6,0,2,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,4,1,34579
Florence County,Jul 2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4314
Juneau County,Nov 2020,5,3,1,12,6,0,2,0,4,1,0,2,2,38,1,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,26478
Washington County,Nov 2019,15,10,5,7,9,0,8,0,2,6,0,0,6,68,7,2,0,6,0,0,0,0,1,8,0,0,0,1,0,0,1,2,0,1,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16,4,134925
Rock County,Nov 2019,68,36,12,20,16,4,29,2,21,9,1,0,22,240,13,6,4,44,0,1,0,0,2,24,1,0,0,9,0,0,10,1,0,1,0,0,0,0,7,1,1,0,0,11,0,0,0,0,0,0,0,0,10,0,2,4,0,0,2,1,0,0,1,0,0,0,10,2,3,6,0,8,0,0,2,0,0,0,5,5,0,3,8,0,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,4,0,8,78,10,162152
Manitowoc County,Sep 2019,43,5,32,11,10,2,7,2,3,4,1,0,11,131,11,8,6,17,1,0,0,0,0,5,0,0,0,0,0,0,23,8,0,1,0,0,0,0,2,0,1,0,3,5,0,0,0,0,0,0,0,0,3,0,1,5,1,0,2,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,2,22,5,79185
Wood County,Apr 2021,34,7,6,73,17,7,2,0,11,8,0,3,18,186,9,8,4,11,2,0,0,0,2,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,4,25,4,3,30,0,9,0,4,4,0,0,0,0,0,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,2,5,1,0,0,0,1,20,1,73112
Sheboygan County,Mar 2020,42,25,15,40,14,9,5,1,6,1,0,0,18,176,3,6,0,31,1,1,0,0,5,17,0,0,3,0,0,0,12,1,1,0,0,1,0,0,2,2,1,1,0,9,0,0,0,0,24,1,0,0,7,0,5,2,0,0,2,0,2,2,3,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,0,7,26,5,115178
Shawano County,Oct 2020,10,2,6,25,12,5,2,0,3,0,0,0,13,78,1,3,2,2,1,1,0,0,0,1,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,15,0,3,2,0,0,0,0,5,7,0,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,1,6,8,40904
Waupaca County,May 2021,14,6,2,16,11,2,2,1,2,2,0,0,4,62,0,6,0,8,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0,7,0,6,0,2,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,51245
Clark County,Feb 2020,5,0,0,3,6,32,0,1,2,0,0,0,3,52,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,34579
Price County,Dec 2019,2,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13416
Grant County,May 2021,24,2,5,5,8,0,0,1,3,1,0,0,5,54,5,6,0,9,2,2,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,6,2,51733
Outagamie County,Mar 2020,78,38,19,77,24,24,9,0,25,16,2,2,68,382,11,14,2,44,5,2,0,0,6,26,0,0,6,0,0,0,13,1,2,1,0,2,0,0,4,2,9,6,0,10,0,0,0,0,45,1,0,0,14,0,3,7,0,0,6,0,2,6,9,1,0,0,4,2,2,1,0,0,0,0,0,0,0,0,6,4,0,3,12,0,3,5,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,32,5,3,1,0,2,0,25,17,3,185700
Florence County,Dec 2019,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314
Sauk County,Dec 2020,15,1,5,11,5,0,3,0,3,2,0,0,0,45,1,1,0,11,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,1,2,1,0,3,0,0,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,63922
Richland County,May 2021,3,1,1,4,3,0,0,0,3,1,1,0,1,18,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17459
Door County,Dec 2019,7,4,4,3,2,4,1,0,0,3,0,0,1,29,1,1,1,4,0,0,0,0,1,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,27472
Waukesha County,May 2021,117,19,15,127,381,17,2,4,86,10,0,1,87,866,35,31,9,30,1,11,0,0,9,8,1,0,1,0,0,0,11,0,2,0,0,1,0,1,4,2,3,8,2,10,2,0,15,24,10,3,44,0,62,1,121,190,7,0,1,0,0,10,3,0,1,2,0,2,0,0,0,0,0,0,3,1,0,0,13,46,0,12,15,0,1,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,2,4,6,3,4,0,14,16,0,400475
Monroe County,Feb 2020,16,2,4,9,32,10,4,0,6,4,0,0,15,102,5,1,0,10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3,0,2,2,0,0,0,0,0,1,1,0,9,0,20,3,0,0,1,0,0,2,7,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,6,16,2,45771
Columbia County,Sep 2019,9,1,5,4,5,2,1,0,0,1,0,0,5,33,1,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,21,1,57133
Polk County,Jan 2020,8,0,5,1,10,1,0,2,2,2,0,0,4,35,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,0,43438
Monroe County,Aug 2020,22,9,6,23,55,7,2,1,16,4,4,1,12,162,3,4,1,13,0,1,0,0,1,6,1,1,0,0,0,0,5,0,0,1,0,0,0,0,0,1,10,1,1,0,0,3,2,0,1,4,0,0,18,0,28,8,1,0,0,0,1,0,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,6,0,0,3,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,2,0,4,8,1,45771
Walworth County,Aug 2019,24,5,7,1,6,1,4,0,9,2,2,0,9,70,8,3,0,12,0,1,0,0,0,5,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,1,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,23,4,103074
Dunn County,Oct 2020,24,3,3,18,12,5,3,0,4,3,0,5,10,90,8,4,0,12,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,3,0,6,5,0,0,0,0,8,4,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,1,3,0,3,8,0,44759
Kewaunee County,Jun 2020,3,0,0,4,2,1,0,0,1,0,0,0,2,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,20387
Door County,Jul 2020,1,0,2,16,8,1,1,1,4,1,0,0,5,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,7,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,27472
Sauk County,Jul 2019,22,7,3,4,3,0,2,1,2,4,0,0,9,57,1,2,3,11,3,2,0,0,3,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,3,18,1,63922
Marinette County,Apr 2020,5,2,3,6,6,3,1,0,6,0,0,0,9,41,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,40391
Oconto County,Sep 2020,6,2,1,12,4,1,0,0,6,0,0,0,4,36,1,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,0,3,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,6,0,37646
Green Lake County,Apr 2020,4,6,4,0,0,3,0,0,1,0,0,0,0,18,0,1,1,2,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18755
Eau Claire County,Oct 2020,69,23,11,91,58,21,12,0,33,8,1,6,41,374,29,13,5,15,2,5,0,0,7,13,2,0,1,0,0,0,9,0,1,0,0,0,1,0,1,0,9,1,1,5,0,9,20,0,24,21,0,0,15,0,34,6,3,0,3,0,4,0,11,1,0,2,5,0,0,1,1,5,0,0,0,0,0,0,5,2,0,10,16,0,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,12,1,2,5,1,6,0,14,14,0,103514
Waushara County,May 2020,7,5,13,15,3,6,0,0,0,1,0,1,2,53,2,3,0,2,0,0,0,0,3,2,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,8,0,3,1,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,24193
Rusk County,Feb 2021,8,0,6,1,1,1,0,0,0,0,0,0,1,18,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,14132
Kewaunee County,Apr 2021,0,0,3,3,2,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,20387
