"","COUNTY","DATE","Housing & Shelter","Food","Utilities","Healthcare & COVID-19","Mental Health & Addictions","Employment & Income","Clothing & Household","Child Care & Parenting","Government & Legal","Transportation Assistance","Education","Disaster","Other","Total for top requests","(Housing & Shelter) Shelters","(Housing & Shelter) Low-cost housing","(Housing & Shelter) Home repair/ maintenance","(Housing & Shelter) Rent assistance","(Housing & Shelter) Mortgage assistance","(Housing & Shelter) Landlord/ tenant issues","(Housing & Shelter) Contacts","(Housing & Shelter) Other housing & shelter","(Food) Help buying food","(Food) Food pantries","(Food) Soup kitchens & Meals to-go","(Food) Feeding children","(Food) Home-delivered meals","(Food) Holiday meals","(Food) Contacts","(Food) Other food","(Utilities) Electric","(Utilities) Gas","(Utilities) Water","(Utilities) Heating fuel","(Utilities) Utility payment plans","(Utilities) Phone/internet","(Utilities) Contacts","(Utilities) Other utilities","(Healthcare & COVID-19) Health insurance","(Healthcare & COVID-19) Medical expense assistance","(Healthcare & COVID-19) Medical providers","(Healthcare & COVID-19) Dental & eye care","(Healthcare & COVID-19) Prescription medications","(Healthcare & COVID-19) Nursing homes & adult care","(Healthcare & COVID-19) Death related","(Healthcare & COVID-19) Public health & safety","(Healthcare & COVID-19) COVID testing","(Healthcare & COVID-19) COVID vaccination","(Healthcare & COVID-19) All other COVID","(Healthcare & COVID-19) Other health services","(Healthcare & COVID-19) Contacts","(Healthcare & COVID-19) Other healthcare","(Mental Health & Addictions) Substance abuse & addictions","(Mental Health & Addictions) Marriage & family","(Mental Health & Addictions) Crisis intervention & suicide","(Mental Health & Addictions) Mental health services","(Mental Health & Addictions) Mental health facilities","(Mental Health & Addictions) Other mental health & addictions","(Employment & Income) Job search","(Employment & Income) Job development","(Employment & Income) Unemployment benefits","(Employment & Income) Tax preparation","(Employment & Income) Financial assistance","(Employment & Income) Money management","(Employment & Income) Contacts","(Employment & Income) Other employment & income","(Clothing & Household) Clothing","(Clothing & Household) Personal hygiene products","(Clothing & Household) Appliances","(Clothing & Household) Home furnishings","(Clothing & Household) Thrift shops","(Clothing & Household) Seasonal/ holiday","(Clothing & Household) Contacts","(Clothing & Household) Other clothing & household","(Child Care & Parenting) Child care","(Child Care & Parenting) Parenting","(Child Care & Parenting) Family support services","(Child Care & Parenting) Other child care & parenting","(Government & Legal) Legal assistance","(Government & Legal) Child & family law","(Government & Legal) Immigration assistance","(Government & Legal) Government","(Government & Legal) Contacts","(Government & Legal) Other government & legal","(Transportation Assistance) Medical transportation","(Transportation Assistance) Public transportation","(Transportation Assistance) Automobile assistance","(Transportation Assistance) Long-distance travel","(Transportation Assistance) Ride share services","(Transportation Assistance) Bike programs","(Transportation Assistance) Contacts","(Transportation Assistance) Other transportation assistance","(Education) Early childhood education","(Education) Adult education","(Education) Literacy","(Education) ESL/ citizenship","(Education) Tutoring","(Education) School supplies","(Education) Scholarships & aid","(Education) Other education providers","(Education) Contacts","(Education) Other education","(Disaster) Food/ water","(Disaster) Housing/ shelter","(Disaster) Transportation/ fuel","(Disaster) Health/ safety","(Disaster) Financial assistance","(Disaster) Disaster relief services","(Disaster) Contacts","(Disaster) Other disaster","(Other) Agency & other contact information","(Other) Community development & enrichment","(Other) Volunteering & donations","(Other) Support & advocacy","(Other) Complaints","(Other) Special population services","(Other) Special populations","(Other) All other requests"
"503","Ashland","Nov 1, 2019-Nov 30, 2019",0,0,0,0,6,0,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"504","Marinette","Mar 1, 2021-Mar 31, 2021",5,0,3,34,8,6,1,0,3,0,0,0,7,67,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,11,0,1,19,0,1,0,1,6,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2
"505","Sauk","Jun 1, 2021-Jun 30, 2021",11,0,2,8,10,6,0,0,1,2,0,0,3,43,4,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0,8,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"506","Green Lake","Mar 1, 2021-Mar 31, 2021",1,1,2,14,2,3,1,0,0,0,0,2,0,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,7,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"507","Iowa","Jan 1, 2021-Jan 31, 2021",3,1,0,2,0,1,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"508","Adams","Feb 1, 2021-Feb 28, 2021",26,1,8,24,9,6,3,0,3,1,0,1,9,91,3,4,10,8,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,1,0,2,1,1,0,0,1,13,1,0,4,0,5,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,3
"509","Iron","Dec 1, 2019-Dec 31, 2019",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510","St. Croix","Sep 1, 2020-Sep 30, 2020",29,4,10,13,17,5,0,0,7,4,0,0,23,112,8,3,1,8,1,1,0,7,1,3,0,0,0,0,0,0,8,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,2,0,5,1,0,0,11,0,1,4,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,1,0,2,0,4
"511","Lincoln","Jul 1, 2021-Jul 31, 2021",10,1,6,6,13,3,1,1,6,4,0,17,4,72,2,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,11,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,3,0,1,0,0,0
"512","Chippewa","Sep 1, 2021-Sep 30, 2021",18,5,13,13,34,5,3,0,5,9,0,1,17,123,7,6,0,5,0,0,0,0,2,1,2,0,0,0,0,0,9,0,2,0,0,2,0,0,0,1,2,1,0,3,0,0,1,1,2,0,2,0,10,0,22,2,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,2,0,0,0,6
"513","Menominee","Aug 1, 2019-Aug 31, 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514","Oneida","Oct 1, 2020-Oct 31, 2020",15,2,1,62,6,4,6,0,2,3,0,5,11,117,3,0,1,10,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,34,0,17,6,0,0,5,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,3,2,0,0,0,1,0,5
"515","Jefferson","Sep 1, 2020-Sep 30, 2020",29,2,10,57,12,3,0,1,2,3,1,2,9,131,0,2,0,21,3,3,0,0,0,1,0,0,1,0,0,0,8,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,40,0,8,5,0,0,5,0,4,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,3
"516","Iron","Jul 1, 2020-Jul 31, 2020",0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517","Dodge","Oct 1, 2019-Oct 31, 2019",7,6,2,2,5,1,2,1,2,2,0,0,10,40,2,0,2,3,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4
"518","Waushara","Jul 1, 2021-Jul 31, 2021",9,1,0,7,3,0,0,0,2,3,0,1,1,27,1,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"519","Door","May 1, 2021-May 31, 2021",3,2,4,12,3,0,0,0,1,0,0,1,2,28,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"520","Sawyer","Sep 1, 2019-Sep 30, 2019",0,3,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"521","Richland","Dec 1, 2019-Dec 31, 2019",1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"522","Green Lake","Dec 1, 2020-Dec 31, 2020",4,0,3,7,0,0,0,0,1,0,0,0,1,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"523","Ozaukee","Oct 1, 2021-Oct 31, 2021",16,5,6,37,31,0,0,0,9,2,0,0,17,123,6,5,0,5,0,0,0,0,2,3,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,2,0,1,1,0,0,8,8,5,0,11,0,8,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,10
"524","Marinette","Dec 1, 2020-Dec 31, 2020",9,3,2,17,8,1,1,0,0,2,0,0,9,52,0,1,0,8,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,2,1,1,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6
"525","Dodge","Jan 1, 2020-Jan 31, 2020",10,3,0,2,6,0,0,0,3,1,0,0,4,29,4,1,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
"526","Barron","Sep 1, 2019-Sep 30, 2019",11,0,6,1,3,0,1,0,0,2,0,2,1,27,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"527","Clark","Jan 1, 2021-Jan 31, 2021",4,1,2,1,2,7,0,0,2,2,0,0,0,21,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528","Waukesha","Dec 1, 2019-Dec 31, 2019",77,14,8,51,270,3,5,2,49,7,0,1,34,521,32,16,3,19,0,6,1,0,5,7,0,0,1,1,0,0,5,1,1,1,0,0,0,0,18,4,10,3,3,7,0,0,0,0,0,5,1,0,22,0,78,170,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,2,0,0,2,0,0,0,9,22,0,6,12,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,1,1,0,7,0,6
"529","Waukesha","Jul 1, 2020-Jul 31, 2020",171,19,25,790,321,25,10,6,77,7,2,16,88,1557,41,52,3,58,1,13,0,3,8,9,0,0,1,0,1,0,16,0,1,1,0,7,0,0,9,3,10,5,2,13,1,15,551,0,124,57,0,0,24,1,111,182,3,0,3,0,2,9,2,2,1,6,0,0,5,5,0,0,0,0,2,2,2,0,7,34,0,16,20,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,13,0,0,1,61,2,1,3,0,9,0,12
"530","Kewaunee","Mar 1, 2020-Mar 31, 2020",3,2,1,3,1,0,0,0,0,1,0,0,8,19,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
"531","Green Lake","Jul 1, 2019-Jul 31, 2019",1,0,1,1,3,0,0,0,2,0,0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"532","Sauk","Apr 1, 2020-Apr 30, 2020",24,10,9,10,6,4,1,0,7,2,0,0,4,77,2,2,0,17,1,2,0,0,2,8,0,0,0,0,0,0,7,2,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,4,0,0,0,3,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"533","Marinette","Jul 1, 2019-Jul 31, 2019",8,1,9,7,2,2,1,0,3,3,0,1,7,44,0,0,1,5,2,0,0,0,1,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4
"534","Racine","Nov 1, 2019-Nov 30, 2019",81,314,16,41,49,11,27,1,15,7,2,1,41,606,32,9,5,28,3,4,0,0,5,275,9,0,1,24,0,0,6,3,2,1,0,3,0,1,19,4,2,2,0,10,0,0,0,0,0,4,0,0,29,0,10,10,0,0,5,0,1,4,1,0,0,0,15,0,3,6,0,3,0,0,1,0,0,0,2,4,0,5,4,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,23,3,9,2,0,0,0,4
"535","Fond du Lac","Nov 1, 2019-Nov 30, 2019",21,19,2,6,11,7,8,0,0,8,0,0,10,92,5,3,2,9,1,1,0,0,1,13,3,0,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,8,0,1,2,0,0,3,0,2,0,2,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5
"536","Richland","Jul 1, 2020-Jul 31, 2020",6,1,2,7,4,1,0,0,1,1,0,0,2,25,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"537","Marathon","May 1, 2020-May 31, 2020",133,24,24,66,38,54,18,0,85,20,2,19,66,549,23,57,7,39,3,3,0,1,3,13,2,0,5,0,0,1,12,2,1,3,0,3,2,1,7,3,7,4,3,14,0,4,9,0,15,0,0,0,21,0,8,9,0,0,5,0,9,29,8,1,2,0,9,2,1,5,1,0,0,0,0,0,0,0,6,2,0,26,51,0,8,7,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,14,0,1,2,15,6,12,10,3,5,0,15
"538","Price","Feb 1, 2021-Feb 28, 2021",3,0,0,5,5,1,0,0,0,0,0,0,1,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"539","Florence","Feb 1, 2021-Feb 28, 2021",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540","Green","May 1, 2021-May 31, 2021",0,0,2,7,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","Eau Claire","Sep 1, 2021-Sep 30, 2021",60,9,6,32,55,4,3,1,19,8,0,6,22,225,30,10,2,16,0,2,0,0,3,5,0,0,1,0,0,0,3,0,2,0,0,1,0,0,2,0,5,0,2,1,0,2,3,2,9,2,4,0,16,3,25,10,1,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,5,12,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,9,0,2,2,0,1,0,8
"542","Pepin","May 1, 2021-May 31, 2021",0,0,0,3,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543","Douglas","Oct 1, 2020-Oct 31, 2020",10,1,3,13,2,1,2,1,2,2,0,1,4,42,2,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,0,2,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0
"544","Juneau","Jan 1, 2020-Jan 31, 2020",11,2,1,1,2,0,2,0,0,4,0,0,5,28,1,1,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"545","Lafayette","Mar 1, 2021-Mar 31, 2021",0,0,2,12,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"546","Columbia","Jan 1, 2021-Jan 31, 2021",19,10,8,22,10,3,1,0,8,2,0,0,12,95,4,5,1,8,1,0,0,0,3,7,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,7,7,3,0,0,0,3,0,5,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,2
"547","La Crosse","Mar 1, 2021-Mar 31, 2021",81,17,10,485,308,30,10,4,109,18,0,13,100,1185,30,15,10,18,1,5,1,1,4,7,2,0,3,0,0,1,8,0,0,1,0,1,0,0,6,4,12,5,1,13,0,0,3,202,13,7,218,1,32,1,217,54,4,0,5,0,4,16,2,0,3,0,3,2,1,2,2,0,0,0,0,4,0,0,11,3,2,28,63,2,3,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,1,22,17,12,7,2,12,0,28
"548","Dane","Apr 1, 2020-Apr 30, 2020",637,827,274,263,214,354,87,7,130,67,4,34,330,3228,172,78,7,326,12,38,0,4,66,696,37,2,26,0,0,0,204,6,9,6,3,38,6,2,64,12,14,45,17,41,2,0,0,0,63,5,0,0,44,0,60,106,4,0,37,1,128,56,14,115,3,0,15,53,5,7,1,5,0,1,6,1,0,0,15,7,0,46,62,0,2,12,46,5,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,5,20,1,0,7,124,14,24,9,8,40,0,111
